"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","transmembrane transport","25/121","501/7601",0.0499001996007984,3.13463981128652,6.28728251815454,2.22941862998598e-07,0.000514995703526761,0.000468177912297055,"ABCA3/ABCB10/NDUFA1/SEC63/SLC26A11/SLC46A1/TIMM23/TMED10/TOMM40L/ABCD3/ANO10/ATP5F1A/ATP5F1C/ATP5MF/MAIP1/PHB2/SLC19A1/SLC19A2/SLC25A1/SLC25A12/SLC25A13/SLC25A17/SLC30A9/SLC37A3/SLC7A2",25
"GO:0046942","carboxylic acid transport","11/121","113/7601",0.0973451327433628,6.11504424778761,6.96713749259935,1.55679472348747e-06,0.00119873193708535,0.00108975630644123,"SLC26A11/SLC46A1/ABCD3/PLA2G4A/SLC19A1/SLC19A2/SLC25A1/SLC25A12/SLC25A13/SLC25A17/SLC7A2",11
"GO:0015884","folic acid transport","3/121","4/7601",0.75,47.1136363636364,11.7324033537037,1.55612518712161e-05,0.00718929836450186,0.00653572578591078,"SLC46A1/SLC19A1/SLC19A2",3
"GO:0006650","glycerophospholipid metabolic process","10/121","145/7601",0.0689655172413793,4.33228840125392,5.15255119164806,9.71653241814936e-05,0.02493909987325,0.0226719089756818,"ABCA3/LPGAT1/PIGX/PIPSL/DHRS7B/MTMR4/PHB2/PLA2G4A/SACM1L/SMPD4",10
"GO:0045333","cellular respiration","10/121","163/7601",0.0613496932515337,3.85387618516453,4.68435203023909,0.000255160740195774,0.0453401007578645,0.0412182734162405,"CISD1/NDUFA1/TEFM/TRAP1/ATP5F1A/ATP5F1C/ATP5MF/SLC25A12/SLC25A13/STOML2",10
"GO:0009084","glutamine family amino acid biosynthetic process","3/121","10/7601",0.3,18.8454545454545,7.18169242034411,0.000435220945944321,0.0628350240707113,0.0571227491551921,"ALDH18A1/GLUD1/PYCR1",3
"GO:0006754","ATP biosynthetic process","6/121","68/7601",0.0882352941176471,5.5427807486631,4.78564998341419,0.000703155168127469,0.0820801944156618,0.0746183585596925,"NDUFA1/ATP5F1A/ATP5F1C/ATP5MF/SLC25A13/STOML2",6
"GO:0043686","co-translational protein modification","2/121","3/7601",0.666666666666667,41.8787878787879,9.0065336282748,0.000746183585596925,0.0820801944156618,0.0746183585596925,"STT3A/STT3B",2
"GO:1901137","carbohydrate derivative biosynthetic process","14/121","335/7601",0.0417910447761194,2.62523744911805,3.86936955317343,0.000833532400745034,0.0875209020782286,0.0795644564347533,"GALNT10/NDUFA1/PIGX/TYW1/ATP5F1A/ATP5F1C/ATP5MF/C1GALT1/RPN1/SLC25A13/STOML2/STT3A/STT3B/UGCG",14
"GO:0072337","modified amino acid transport","3/121","15/7601",0.2,12.5636363636364,5.70141060044186,0.00155688919203248,0.12088762301498,0.109897839104527,"SLC46A1/SLC19A1/SLC19A2",3
"GO:0042908","xenobiotic transport","3/121","16/7601",0.1875,11.7784090909091,5.48890285109815,0.00189403806241287,0.127691164129029,0.116082876480936,"ABCA3/SLC19A1/SLC37A3",3
"GO:0009303","rRNA transcription","4/121","35/7601",0.114285714285714,7.17922077922078,4.6599713712715,0.00218486696198456,0.127691164129029,0.116082876480936,"GTF3C1/SIRT7/GTF3C3/SMARCA4",4
"GO:0051384","response to glucocorticoid","5/121","58/7601",0.0862068965517241,5.4153605015674,4.29295952186678,0.00219882526525891,0.127691164129029,0.116082876480936,"ABCA3/FOS/KLF9/ATP5F1A/SERPINF1",5
"GO:0043490","malate-aspartate shuttle","2/121","5/7601",0.4,25.1272727272727,6.86356008397646,0.00243570966406412,0.127691164129029,0.116082876480936,"SLC25A12/SLC25A13",2
"GO:0006282","regulation of DNA repair","9/121","183/7601",0.0491803278688525,3.08941877794337,3.6387842495041,0.00248749021030576,0.127691164129029,0.116082876480936,"SIRT7/DHX9/HMGA2/KDM4D/PRKDC/SENP3/SMARCA4/SUPT20H/TRRAP",9
"GO:0045639","positive regulation of myeloid cell differentiation","4/121","39/7601",0.102564102564103,6.44289044289044,4.33403328243727,0.00326842269002364,0.144118401636582,0.131016728760529,"ABCB10/FOS/PRKCA/PRKDC",4
"GO:0019083","viral transcription","4/121","40/7601",0.1,6.28181818181818,4.25963617109884,0.00358752508676268,0.144118401636582,0.131016728760529,"DHX9/HMGA2/JUN/SMARCA4",4
"GO:0006560","proline metabolic process","2/121","6/7601",0.333333333333333,20.9393939393939,6.21401607214896,0.00361556144451307,0.144118401636582,0.131016728760529,"ALDH18A1/PYCR1",2
"GO:0048205","COPI coating of Golgi vesicle","2/121","6/7601",0.333333333333333,20.9393939393939,6.21401607214896,0.00361556144451307,0.144118401636582,0.131016728760529,"TMED10/TMED2",2
"GO:0070778","L-aspartate transmembrane transport","2/121","6/7601",0.333333333333333,20.9393939393939,6.21401607214896,0.00361556144451307,0.144118401636582,0.131016728760529,"SLC25A12/SLC25A13",2
